




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Cranford District 3           543                           58                            58                            0                             0                             58                            
Cranford District 4           456                           35                            35                            0                             0                             35                            
Cranford District 5           531                           55                            55                            0                             0                             55                            
Cranford District 6           509                           60                            60                            0                             0                             60                            
Cranford District 7           615                           83                            83                            0                             0                             83                            
Cranford District 8           585                           66                            66                            0                             0                             66                            
Cranford District 9           556                           56                            56                            0                             0                             56                            
Cranford District 10          508                           48                            48                            0                             0                             48                            
Cranford District 11          460                           51                            51                            0                             0                             51                            
Cranford District 12          584                           90                            90                            0                             0                             90                            
Cranford District 13          697                           69                            69                            1                             1                             70                            
Cranford District 14          555                           46                            46                            0                             0                             46                            
Cranford District 15          667                           88                            88                            0                             0                             88                            
Cranford District 16          469                           58                            58                            0                             0                             58                            
Cranford District 17          466                           38                            38                            0                             0                             38                            
Cranford District 18          456                           40                            40                            0                             0                             40                            
Cranford District 19          522                           47                            47                            0                             0                             47                            
Cranford District 20          490                           68                            68                            0                             0                             68                            
Cranford District 21          671                           88                            88                            0                             0                             88                            
Cranford District 22          602                           70                            70                            0                             0                             70                            
Cranford District 23          575                           79                            79                            0                             0                             79                            
Cranford District 24          457                           31                            31                            0                             0                             31                            
Cranford District 25          435                           30                            30                            0                             0                             30                            
Cranford District 26          632                           100                           100                           0                             0                             100                           
Cranford District 27          620                           66                            66                            0                             0                             66                            
Cranford District 28          481                           55                            55                            0                             0                             55                            
Cranford District 29          610                           70                            70                            0                             0                             70                            
Cranford District 30          484                           57                            57                            0                             0                             57                            
Cranford Mail-In Ballot       0                             58                            58                            0                             0                             58                            
Cranford Provisional          0                             5                             5                             0                             0                             5                             
Cranford Overseas             0                             4                             4                             0                             0                             4                             
Garwood District 1            792                           57                            57                            0                             0                             57                            
Garwood District 2            909                           88                            88                            0                             0                             88                            
Garwood District 3            672                           82                            82                            0                             0                             82                            
Garwood District 4            540                           46                            46                            0                             0                             46                            
Garwood Mail-In Ballot        0                             2                             2                             0                             0                             2                             
Garwood Provisional           0                             3                             3                             0                             0                             3                             
Garwood Overseas              0                             0                             0                             0                             0                             0                             
Kenilworth District 1         804                           83                            83                            0                             0                             83                            
Kenilworth District 2         809                           40                            40                            0                             0                             40                            
Kenilworth District 3         827                           70                            70                            0                             0                             70                            
Kenilworth District 4         871                           49                            49                            0                             0                             49                            
Kenilworth District 5         994                           52                            52                            1                             1                             53                            
Kenilworth District 6         873                           49                            49                            0                             0                             49                            
Kenilworth Mail-In Ballot     0                             10                            10                            0                             0                             10                            
Kenilworth Provisional        0                             0                             0                             0                             0                             0                             
Kenilworth Overseas           0                             0                             0                             0                             0                             0                             
Mountainside District 1       573                           36                            36                            0                             0                             36                            
Mountainside District 2       491                           32                            32                            0                             0                             32                            
Mountainside District 3       563                           35                            35                            0                             0                             35                            
Mountainside District 4       511                           30                            30                            0                             0                             30                            
Mountainside District 5       657                           56                            56                            0                             0                             56                            
Mountainside District 6       506                           43                            43                            0                             0                             43                            
Mountainside District 7       657                           42                            42                            0                             0                             42                            
Mountainside District 8       508                           42                            42                            0                             0                             42                            
Mountainside District 9       551                           41                            41                            0                             0                             41                            
Mountainside Mail-In Ballot   0                             14                            14                            0                             0                             14                            
Mountainside Provisional      0                             1                             1                             0                             0                             1                             
Mountainside Overseas         0                             1                             1                             0                             0                             1                             
New Providence District 1     571                           41                            41                            0                             0                             41                            
New Providence District 2     979                           64                            64                            0                             0                             64                            
New Providence District 3     717                           61                            61                            0                             0                             61                            
New Providence District 4     856                           93                            93                            0                             0                             93                            
New Providence District 5     837                           58                            58                            0                             0                             58                            
New Providence District 6     547                           50                            50                            0                             0                             50                            
New Providence District 7     680                           60                            60                            0                             0                             60                            
New Providence District 8     895                           73                            73                            0                             0                             73                            
New Providence District 9     685                           65                            65                            1                             1                             66                            
New Providence District 10    769                           76                            76                            1                             1                             77                            
New Providence District 11    874                           50                            50                            0                             0                             50                            
New Providence Mail-In Ballot 0                             26                            26                            0                             0                             26                            
New Providence Provisional    0                             1                             1                             0                             0                             1                             
New Providence Overseas       0                             3                             3                             0                             0                             3                             
Scotch Plains District 8      773                           94                            94                            0                             0                             94                            
Scotch Plains 7th cong Mail-In Ballot0                             1                             1                             0                             0                             1                             
Scotch Plains 7th cong Provisional0                             0                             0                             0                             0                             0                             
Scotch Plains 7th cong Overseas0                             0                             0                             0                             0                             0                             
Springfield District 1        800                           67                            67                            0                             0                             67                            
Springfield District 2        513                           41                            41                            0                             0                             41                            
Springfield District 3        491                           43                            43                            0                             0                             43                            
Springfield District 4        651                           90                            90                            0                             0                             90                            
Springfield District 5        556                           52                            52                            0                             0                             52                            
Springfield District 6        1267                          138                           138                           0                             0                             138                           
Springfield District 7        866                           78                            78                            0                             0                             78                            
Springfield District 8        630                           61                            61                            0                             0                             61                            
Springfield District 9        994                           123                           123                           0                             0                             123                           
Springfield District 10       1141                          125                           125                           0                             0                             125                           
Springfield District 11       1499                          183                           183                           1                             1                             184                           
Springfield District 12       704                           88                            88                            0                             0                             88                            
Springfield District 13       672                           63                            63                            0                             0                             63                            
Springfield District 14       514                           57                            57                            0                             0                             57                            
Springfield Mail-In Ballot    0                             49                            49                            0                             0                             49                            
Springfield Provisional       0                             6                             6                             0                             0                             6                             
Springfield Overseas          0                             2                             2                             0                             0                             2                             
Summit Ward 1 District 1      569                           42                            42                            0                             0                             42                            
Summit Ward 1 District 2      558                           71                            71                            0                             0                             71                            
Summit Ward 1 District 3      603                           59                            59                            0                             0                             59                            
Summit Ward 1 District 4      668                           77                            77                            0                             0                             77                            
Summit Ward 1 District 5      670                           51                            51                            0                             0                             51                            
Summit Ward 1 District 6      540                           61                            61                            0                             0                             61                            
Summit Ward 1 District 7      602                           63                            63                            0                             0                             63                            
Summit Ward 1 District 8      520                           60                            60                            1                             1                             61                            
Summit Ward 1 District 9      547                           61                            61                            0                             0                             61                            
Summit Ward 1 District 10     591                           42                            42                            0                             0                             42                            
Summit Ward 1 District 11     591                           73                            73                            0                             0                             73                            
Summit Ward 1 District 12     690                           78                            78                            0                             0                             78                            
Summit Ward 2 District 1      539                           44                            44                            0                             0                             44                            
Summit Ward 2 District 2      473                           66                            66                            0                             0                             66                            
Summit Ward 2 District 3      553                           54                            54                            0                             0                             54                            
Summit Ward 2 District 4      483                           26                            26                            0                             0                             26                            
Summit Ward 2 District 5      554                           57                            57                            0                             0                             57                            
Summit Ward 2 District 6      599                           80                            80                            0                             0                             80                            
Summit Ward 2 District 7      653                           99                            99                            0                             0                             99                            
Summit Ward 2 District 8      486                           65                            65                            0                             0                             65                            
Summit Ward 2 District 9      651                           65                            65                            0                             0                             65                            
Summit Ward 2 District 10     620                           71                            71                            0                             0                             71                            
Summit Ward 2 District 11     615                           70                            70                            0                             0                             70                            
Summit Ward 2 District 12     645                           69                            69                            0                             0                             69                            
Summit Ward 2 District 13     585                           54                            54                            1                             1                             55                            
Summit Ward 1 Mail-In Ballot  0                             25                            25                            0                             0                             25                            
Summit Ward 2 Mail-In Ballot  0                             25                            25                            0                             0                             25                            
Summit Ward 1 Provisional     0                             7                             7                             0                             0                             7                             
Summit Ward 2 Provisional     0                             5                             5                             0                             0                             5                             
Summit Ward 1 Overseas        0                             5                             5                             0                             0                             5                             
Summit Ward 2 Overseas        0                             2                             2                             0                             0                             2                             
Union District 1              656                           69                            69                            0                             0                             69                            
Union District 2              682                           75                            75                            0                             0                             75                            
Union District 3              805                           89                            89                            0                             0                             89                            
Union District 4              800                           83                            83                            0                             0                             83                            
Union District 9              811                           120                           120                           0                             0                             120                           
Union District 10             847                           108                           108                           0                             0                             108                           
Union District 11             687                           75                            75                            0                             0                             75                            
Union District 13             753                           85                            85                            0                             0                             85                            
Union District 16             798                           114                           114                           0                             0                             114                           
Union District 19             635                           51                            51                            0                             0                             51                            
Union District 20             537                           63                            63                            0                             0                             63                            
Union District 21             743                           68                            68                            0                             0                             68                            
Union District 23             812                           62                            62                            0                             0                             62                            
Union District 24             812                           72                            72                            0                             0                             72                            
Union District 25             547                           52                            52                            0                             0                             52                            
Union District 26             716                           71                            71                            0                             0                             71                            
Union District 29             676                           85                            85                            0                             0                             85                            
Union District 30             643                           70                            70                            0                             0                             70                            
Union District 32             655                           77                            77                            0                             0                             77                            
Union District 35             676                           69                            69                            0                             0                             69                            
Union District 36             715                           77                            77                            0                             0                             77                            
Union District 37             683                           53                            53                            0                             0                             53                            
Union District 43             865                           107                           107                           0                             0                             107                           
Union District 44             593                           64                            64                            0                             0                             64                            
Union District 45             691                           81                            81                            0                             0                             81                            
Union District 46             757                           81                            81                            0                             0                             81                            
Union District 47             913                           86                            86                            0                             0                             86                            
Union District 48             437                           63                            63                            0                             0                             63                            
Union Cong 7 Mail-In Ballot   0                             43                            43                            1                             1                             44                            
Union Cong 7 Provisional      0                             15                            15                            0                             0                             15                            
Union Cong 7 Overseas         0                             5                             5                             0                             0                             5                             
Westfield Ward 1 District 1   677                           78                            78                            0                             0                             78                            
Westfield Ward 1 District 2   868                           105                           105                           0                             0                             105                           
Westfield Ward 1 District 3   819                           54                            54                            0                             0                             54                            
Westfield Ward 1 District 4   1215                          111                           111                           1                             1                             112                           
Westfield Ward 1 District 5   935                           105                           105                           1                             1                             106                           
Westfield Ward 1 District 6   702                           81                            81                            0                             0                             81                            
Westfield Ward 1 District 7   446                           49                            49                            0                             0                             49                            
Westfield Ward 2 District 1   819                           98                            98                            0                             0                             98                            
Westfield Ward 2 District 2   1057                          112                           112                           0                             0                             112                           
Westfield Ward 2 District 3   693                           57                            57                            0                             0                             57                            
Westfield Ward 2 District 4   976                           100                           100                           0                             0                             100                           
Westfield Ward 2 District 5   1149                          67                            67                            0                             0                             67                            
Westfield Ward 2 District 6   691                           75                            75                            0                             0                             75                            
Westfield Ward 3 District 1   422                           45                            45                            0                             0                             45                            
Westfield Ward 3 District 2   627                           66                            66                            0                             0                             66                            
Westfield Ward 3 District 3   685                           94                            94                            0                             0                             94                            
Westfield Ward 3 District 4   871                           90                            90                            0                             0                             90                            
Westfield Ward 3 District 5   887                           55                            55                            0                             0                             55                            
Westfield Ward 3 District 6   875                           62                            62                            0                             0                             62                            
Westfield Ward 3 District 7   828                           80                            80                            0                             0                             80                            
Westfield Ward 4 District 1   1344                          146                           146                           0                             0                             146                           
Westfield Ward 4 District 2   1099                          137                           137                           0                             0                             137                           
Westfield Ward 4 District 3   1128                          132                           132                           0                             0                             132                           
Westfield Ward 4 District 4   874                           75                            75                            0                             0                             75                            
Westfield Ward 4 District 5   1085                          98                            98                            0                             0                             98                            
Westfield Ward 1 Mail-In Ballot0                             34                            34                            0                             0                             34                            
Westfield Ward 2 Mail-In Ballot0                             14                            14                            0                             0                             14                            
Westfield Ward 3 Mail-In Ballot0                             33                            33                            0                             0                             33                            
Westfield Ward 4 Mail-In Ballot0                             24                            24                            0                             0                             24                            
Westfield Ward 1 Provisional  0                             11                            11                            0                             0                             11                            
Westfield Ward 2 Provisional  0                             0                             0                             0                             0                             0                             
Westfield Ward 3 Provisional  0                             2                             2                             0                             0                             2                             
Westfield Ward 4 Provisional  0                             1                             1                             0                             0                             1                             
Westfield Ward 1 Overseas     0                             2                             2                             0                             0                             2                             
Westfield Ward 2 Overseas     0                             1                             1                             0                             0                             1                             
Westfield Ward 3 Overseas     0                             2                             2                             0                             0                             2                             
Westfield Ward 4 Overseas     0                             4                             4                             0                             0                             4                             
Winfield District 1           451                           39                            39                            0                             0                             39                            
Winfield District 2           578                           48                            48                            0                             0                             48                            
Winfield Mail-In Ballot       0                             4                             4                             0                             0                             4                             
Winfield Provisional          0                             0                             0                             0                             0                             0                             
Winfield Overseas             0                             0                             0                             0                             0                             0                             
Totals:                       127935                        12744                         12744                         11                            11                            12755                         

                                                                                                           Dem - House of Representatives- 8th (Vote For 1)
                                                            Albio SIRES                                                 Eloy J. DELGADO                                             Personal Choice                                             
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Elizabeth Ward 1 District 1   784                           91                            91                            6                             6                             0                             0                             97                            
Elizabeth Ward 1 District 2   1068                          99                            99                            10                            10                            0                             0                             109                           
Elizabeth Ward 1 District 3   867                           78                            78                            12                            12                            0                             0                             90                            
Elizabeth Ward 1 District 4   1238                          132                           132                           2                             2                             0                             0                             134                           
Elizabeth Ward 1 District 5   1181                          69                            69                            8                             8                             0                             0                             77                            
Elizabeth Ward 1 District 6   1721                          145                           145                           22                            22                            0                             0                             167                           
Elizabeth Ward 1 District 7   717                           61                            61                            13                            13                            0                             0                             74                            
Elizabeth Ward 1 District 8   806                           62                            62                            10                            10                            0                             0                             72                            
