




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Linden Ward 9 District 2      586                           190                           190                           190                           190                           1                             1                             0                             0                             0                             0                             2                             2                             2                             2                             0                             0                             7                             7                             2                             2                             394                           
Linden Ward 9 District 3      457                           163                           163                           126                           126                           2                             2                             0                             0                             1                             1                             3                             3                             0                             0                             0                             0                             6                             6                             3                             3                             304                           
Linden Ward 9 District 4      557                           209                           209                           180                           180                           1                             1                             0                             0                             0                             0                             1                             1                             2                             2                             0                             0                             2                             2                             2                             2                             397                           
Linden Ward 9 District 5      457                           143                           143                           140                           140                           1                             1                             0                             0                             1                             1                             1                             1                             0                             0                             0                             0                             8                             8                             2                             2                             296                           
Linden Ward 10 District 1     635                           239                           239                           195                           195                           0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             5                             5                             0                             0                             440                           
Linden Ward 10 District 2     396                           142                           142                           146                           146                           0                             0                             0                             0                             1                             1                             1                             1                             0                             0                             0                             0                             2                             2                             0                             0                             292                           
Linden Ward 10 District 3     881                           313                           313                           211                           211                           0                             0                             0                             0                             0                             0                             2                             2                             2                             2                             0                             0                             6                             6                             0                             0                             534                           
Linden Ward 10 District 4     690                           187                           187                           252                           252                           1                             1                             0                             0                             0                             0                             3                             3                             1                             1                             0                             0                             4                             4                             6                             6                             454                           
Linden Ward 1 Mail-In Ballot  0                             33                            33                            19                            19                            1                             1                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             1                             1                             3                             3                             58                            
Linden Ward 2 Mail-In Ballot  0                             35                            35                            33                            33                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             68                            
Linden Ward 3 Mail-In Ballot  0                             52                            52                            20                            20                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             73                            
Linden Ward 4 Mail-In Ballot  0                             40                            40                            3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             43                            
Linden Ward 5 Mail-In Ballot  0                             54                            54                            23                            23                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             2                             2                             2                             81                            
Linden Ward 6 Mail-In Ballot  0                             33                            33                            19                            19                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             52                            
Linden Ward 7 Mail-In Ballot  0                             29                            29                            13                            13                            0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             2                             1                             1                             46                            
Linden Ward 8 Mail-In Ballot  0                             65                            65                            13                            13                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             79                            
Linden Ward 9 Mail-In Ballot  0                             62                            62                            63                            63                            0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             1                             1                             0                             0                             128                           
Linden Ward 10 Mail-In Ballot 0                             64                            64                            53                            53                            0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             1                             1                             0                             0                             119                           
Linden Ward 1 Provisional     0                             8                             8                             4                             4                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             12                            
Linden Ward 2 Provisional     0                             16                            16                            1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             18                            
Linden Ward 3 Provisional     0                             19                            19                            8                             8                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             1                             1                             29                            
Linden Ward 4 Provisional     0                             29                            29                            1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             30                            
Linden Ward 5 Provisional     0                             19                            19                            8                             8                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             30                            
Linden Ward 6 Provisional     0                             7                             7                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             10                            
Linden Ward 7 Provisional     0                             8                             8                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             10                            
Linden Ward 8 Provisional     0                             11                            11                            3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             15                            
Linden Ward 9 Provisional     0                             10                            10                            8                             8                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             18                            
Linden Ward 10 Provisional    0                             6                             6                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             8                             
Linden Ward 1 Overseas        0                             3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             3                             
Linden Ward 2 Overseas        0                             9                             9                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             10                            
Linden Ward 3 Overseas        0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
Linden Ward 4 Overseas        0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             
Linden Ward 5 Overseas        0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
Linden Ward 6 Overseas        0                             4                             4                             1                             1                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             6                             
Linden Ward 7 Overseas        0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Linden Ward 8 Overseas        0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Linden Ward 9 Overseas        0                             4                             4                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             4                             
Linden Ward 10 Overseas       0                             7                             7                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             10                            
Mountainside District 1       598                           157                           157                           218                           218                           0                             0                             0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             7                             7                             5                             5                             390                           
Mountainside District 2       505                           140                           140                           184                           184                           0                             0                             0                             0                             1                             1                             1                             1                             1                             1                             0                             0                             9                             9                             2                             2                             338                           
Mountainside District 3       572                           187                           187                           207                           207                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             7                             7                             3                             3                             404                           
Mountainside District 4       523                           137                           137                           213                           213                           0                             0                             0                             0                             0                             0                             3                             3                             2                             2                             0                             0                             5                             5                             2                             2                             362                           
Mountainside District 5       677                           188                           188                           247                           247                           3                             3                             1                             1                             2                             2                             7                             7                             0                             0                             0                             0                             12                            12                            3                             3                             463                           
Mountainside District 6       533                           159                           159                           200                           200                           0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             7                             7                             2                             2                             369                           
Mountainside District 7       678                           167                           167                           249                           249                           2                             2                             2                             2                             0                             0                             4                             4                             1                             1                             1                             1                             5                             5                             8                             8                             439                           
Mountainside District 8       535                           151                           151                           190                           190                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             7                             7                             1                             1                             349                           
Mountainside District 9       576                           157                           157                           232                           232                           1                             1                             1                             1                             0                             0                             3                             3                             0                             0                             0                             0                             7                             7                             2                             2                             403                           
Mountainside Mail-In Ballot   0                             171                           171                           144                           144                           3                             3                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             6                             6                             4                             4                             329                           
Mountainside Provisional      0                             15                            15                            9                             9                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             26                            
Mountainside Overseas         0                             12                            12                            1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             14                            
New Providence District 1     643                           228                           228                           181                           181                           0                             0                             0                             0                             0                             0                             1                             1                             1                             1                             0                             0                             8                             8                             6                             6                             425                           
New Providence District 2     1035                          336                           336                           308                           308                           0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             34                            34                            8                             8                             687                           
New Providence District 3     744                           238                           238                           227                           227                           1                             1                             0                             0                             1                             1                             3                             3                             1                             1                             0                             0                             14                            14                            9                             9                             494                           
New Providence District 4     893                           332                           332                           204                           204                           2                             2                             0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             24                            24                            7                             7                             572                           
New Providence District 5     879                           305                           305                           271                           271                           1                             1                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             20                            20                            7                             7                             606                           
New Providence District 6     587                           202                           202                           157                           157                           0                             0                             0                             0                             0                             0                             5                             5                             1                             1                             0                             0                             7                             7                             1                             1                             373                           
New Providence District 7     700                           265                           265                           218                           218                           0                             0                             0                             0                             0                             0                             1                             1                             1                             1                             0                             0                             16                            16                            5                             5                             506                           
New Providence District 8     940                           313                           313                           242                           242                           3                             3                             0                             0                             0                             0                             12                            12                            2                             2                             0                             0                             21                            21                            8                             8                             601                           
New Providence District 9     882                           335                           335                           208                           208                           0                             0                             0                             0                             0                             0                             4                             4                             1                             1                             0                             0                             22                            22                            2                             2                             572                           
New Providence District 10    792                           255                           255                           229                           229                           0                             0                             0                             0                             0                             0                             4                             4                             2                             2                             0                             0                             15                            15                            7                             7                             512                           
New Providence District 11    903                           275                           275                           272                           272                           0                             0                             0                             0                             0                             0                             8                             8                             2                             2                             0                             0                             17                            17                            6                             6                             580                           
New Providence Mail-In Ballot 0                             368                           368                           183                           183                           0                             0                             1                             1                             0                             0                             5                             5                             0                             0                             0                             0                             22                            22                            8                             8                             587                           
New Providence Provisional    0                             14                            14                            11                            11                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             25                            
New Providence Overseas       0                             34                            34                            20                            20                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             3                             3                             0                             0                             57                            
Plainfield Ward 1 District 1  733                           409                           409                           32                            32                            3                             3                             0                             0                             0                             0                             6                             6                             0                             0                             0                             0                             3                             3                             2                             2                             455                           
Plainfield Ward 1 District 2  1112                          557                           557                           29                            29                            0                             0                             0                             0                             1                             1                             6                             6                             1                             1                             0                             0                             3                             3                             0                             0                             597                           
