




                              Registered Voters             Ballots Cast                  Voter Turnout                 
North Plainfield D 8          912                           36                            36                            5                             5                             3                             3                             44                            
North Plainfield D 9          881                           45                            45                            10                            10                            5                             5                             60                            
North Plainfield D 10         756                           33                            33                            8                             8                             1                             1                             42                            
North Plainfield D 11         874                           47                            47                            11                            11                            3                             3                             61                            
North Plainfield D 12         565                           36                            36                            7                             7                             2                             2                             45                            
North Plainfield Mail-In Ballot0                             12                            12                            6                             6                             0                             0                             18                            
North Plainfield Provo        0                             0                             0                             0                             0                             0                             0                             0                             
Peapack Gladstone D 1         979                           128                           128                           46                            46                            7                             7                             181                           
Peapack Gladstone D 2         904                           103                           103                           32                            32                            8                             8                             143                           
Peapack Gladstone Mail-In Ballot0                             16                            16                            0                             0                             2                             2                             18                            
Peapack Gladstone Provo       0                             0                             0                             0                             0                             0                             0                             0                             
Raritan D 1                   964                           54                            54                            11                            11                            3                             3                             68                            
Raritan D 2                   1213                          105                           105                           23                            23                            9                             9                             137                           
Raritan D 3                   579                           45                            45                            7                             7                             4                             4                             56                            
Raritan D 4                   920                           54                            54                            8                             8                             5                             5                             67                            
Raritan D 5                   723                           62                            62                            8                             8                             3                             3                             73                            
Raritan Mail-In Ballot        0                             22                            22                            4                             4                             2                             2                             28                            
Raritan Provo                 0                             0                             0                             0                             0                             0                             0                             0                             
Rocky Hill D 1                537                           25                            25                            17                            17                            4                             4                             46                            
Rocky Hill Mail-In Ballot     0                             0                             0                             0                             0                             0                             0                             0                             
Rocky Hill Provo              0                             0                             0                             0                             0                             0                             0                             0                             
Somerville D 1                583                           55                            55                            13                            13                            9                             9                             77                            
Somerville D 2                783                           47                            47                            16                            16                            4                             4                             67                            
Somerville D 3                867                           33                            33                            12                            12                            5                             5                             50                            
Somerville D 4                752                           79                            79                            10                            10                            8                             8                             97                            
Somerville D 5                808                           48                            48                            8                             8                             3                             3                             59                            
Somerville D 6                552                           54                            54                            13                            13                            3                             3                             70                            
Somerville D 7                779                           65                            65                            24                            24                            4                             4                             93                            
Somerville D 8                843                           19                            19                            9                             9                             1                             1                             29                            
Somerville D 9                616                           58                            58                            4                             4                             5                             5                             67                            
Somerville Mail-In Ballot     0                             18                            18                            4                             4                             4                             4                             26                            
Somerville Provo              0                             0                             0                             1                             1                             1                             1                             2                             
South Bound Brook D 1         876                           66                            66                            9                             9                             5                             5                             80                            
South Bound Brook D 2         963                           39                            39                            3                             3                             6                             6                             48                            
South Bound Brook D 3         740                           51                            51                            6                             6                             4                             4                             61                            
South Bound Brook Mail-In Ballot0                             4                             4                             3                             3                             0                             0                             7                             
South Bound Brook Provo       0                             1                             1                             0                             0                             0                             0                             1                             
Warren D 1                    785                           58                            58                            10                            10                            7                             7                             75                            
Warren D 2                    752                           142                           142                           33                            33                            8                             8                             183                           
Warren D 3                    942                           82                            82                            24                            24                            4                             4                             110                           
Warren D 4                    902                           100                           100                           25                            25                            7                             7                             132                           
Warren D 5                    889                           96                            96                            16                            16                            17                            17                            129                           
Warren D 6                    789                           75                            75                            32                            32                            9                             9                             116                           
Warren D 7                    906                           87                            87                            19                            19                            3                             3                             109                           
Warren D 8                    842                           110                           110                           11                            11                            6                             6                             127                           
Warren D 9                    858                           80                            80                            14                            14                            7                             7                             101                           
Warren D 10                   886                           105                           105                           21                            21                            8                             8                             134                           
Warren D 11                   849                           81                            81                            15                            15                            1                             1                             97                            
Warren D 12                   1216                          93                            93                            31                            31                            6                             6                             130                           
Warren D 13                   896                           77                            77                            9                             9                             4                             4                             90                            
Warren Mail-In Ballot         0                             55                            55                            10                            10                            3                             3                             68                            
Warren Provo                  0                             1                             1                             0                             0                             0                             0                             1                             
Watchung D 1                  836                           98                            98                            19                            19                            10                            10                            127                           
Watchung D 2                  946                           99                            99                            25                            25                            5                             5                             129                           
Watchung D 3                  755                           91                            91                            30                            30                            6                             6                             127                           
Watchung D 4                  892                           116                           116                           29                            29                            8                             8                             153                           
Watchung D 5                  950                           57                            57                            20                            20                            2                             2                             79                            
Watchung Mail-In Ballot       0                             21                            21                            5                             5                             2                             2                             28                            
Watchung Provo                0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       212280                        16978                         16978                         4167                          4167                          1355                          1355                          22500                         

                                                                                                           REP - Republican Delegates 7th District (Vote For 1)
                                                            Donald J. Trump 7th Dist Delegates                          John R. Kasich 7th Dist Delegates                           Ted Cruz 7th Dist Delegates                                 
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Bedminster D 1                487                           58                            58                            18                            18                            5                             5                             81                            
Bedminster D 2                648                           58                            58                            14                            14                            2                             2                             74                            
Bedminster D 3                605                           51                            51                            12                            12                            0                             0                             63                            
Bedminster D 4                719                           64                            64                            17                            17                            1                             1                             82                            
Bedminster D 5                1007                          59                            59                            10                            10                            4                             4                             73                            
Bedminster D 6                896                           74                            74                            14                            14                            4                             4                             92                            
Bedminster D 7                876                           82                            82                            16                            16                            2                             2                             100                           
Bedminster D 8                712                           41                            41                            9                             9                             3                             3                             53                            
Bedminster D 9                512                           43                            43                            11                            11                            1                             1                             55                            
Bedminster Mail-In Ballot     0                             22                            22                            8                             8                             0                             0                             30                            
Bedminster Provo              0                             0                             0                             0                             0                             0                             0                             0                             
Bernards D 1                  599                           44                            44                            14                            14                            3                             3                             61                            
Bernards D 2                  807                           84                            84                            25                            25                            6                             6                             115                           
Bernards D 3                  737                           73                            73                            15                            15                            7                             7                             95                            
Bernards D 4                  748                           46                            46                            21                            21                            2                             2                             69                            
Bernards D 5                  800                           79                            79                            14                            14                            6                             6                             99                            
Bernards D 6                  823                           62                            62                            24                            24                            6                             6                             92                            
Bernards D 7                  730                           67                            67                            28                            28                            6                             6                             101                           
Bernards D 8                  890                           66                            66                            26                            26                            6                             6                             98                            
Bernards D 9                  950                           82                            82                            24                            24                            2                             2                             108                           
Bernards D 10                 952                           86                            86                            28                            28                            16                            16                            130                           
Bernards D 11                 835                           72                            72                            13                            13                            9                             9                             94                            
Bernards D 12                 914                           72                            72                            24                            24                            6                             6                             102                           
Bernards D 13                 962                           96                            96                            16                            16                            4                             4                             116                           
Bernards D 14                 894                           67                            67                            30                            30                            5                             5                             102                           
Bernards D 15                 789                           56                            56                            15                            15                            12                            12                            83                            
Bernards D 16                 497                           49                            49                            3                             3                             0                             0                             52                            
Bernards D 17                 888                           63                            63                            22                            22                            4                             4                             89                            
Bernards D 18                 877                           78                            78                            14                            14                            10                            10                            102                           
Bernards D 19                 870                           85                            85                            11                            11                            5                             5                             101                           
Bernards D 20                 796                           110                           110                           29                            29                            11                            11                            150                           
Bernards D 21                 759                           36                            36                            14                            14                            2                             2                             52                            
Bernards D 22                 667                           39                            39                            9                             9                             2                             2                             50                            
Bernards D 23                 665                           53                            53                            6                             6                             1                             1                             60                            
Bernards D 24                 686                           51                            51                            9                             9                             4                             4                             64                            
Bernards Mail-In Ballot       0                             73                            73                            42                            42                            9                             9                             124                           
Bernards Provo                0                             5                             5                             0                             0                             0                             0                             5                             
Bernardsville D 1             853                           63                            63                            24                            24                            6                             6                             93                            
Bernardsville D 2             746                           69                            69                            25                            25                            8                             8                             102                           
Bernardsville D 3             822                           48                            48                            17                            17                            6                             6                             71                            
Bernardsville D 4             778                           67                            67                            18                            18                            9                             9                             94                            
Bernardsville D 5             734                           87                            87                            23                            23                            7                             7                             117                           
Bernardsville D 6             845                           66                            66                            16                            16                            3                             3                             85                            
Bernardsville D 7             783                           74                            74                            24                            24                            7                             7                             105                           
Bernardsville Mail-In Ballot  0                             28                            28                            11                            11                            4                             4                             43                            
Bernardsville Provo           0                             0                             0                             1                             1                             0                             0                             1                             
Branchburg D 1                832                           81                            81                            20                            20                            3                             3                             104                           
Branchburg D 2                863                           62                            62                            7                             7                             4                             4                             73                            
Branchburg D 3                656                           51                            51                            11                            11                            6                             6                             68                            
Branchburg D 4                615                           54                            54                            19                            19                            6                             6                             79                            
Branchburg D 5                678                           67                            67                            19                            19                            4                             4                             90                            
Branchburg D 6                890                           89                            89                            12                            12                            8                             8                             109                           
Branchburg D 7                903                           96                            96                            11                            11                            5                             5                             112                           
Branchburg D 8                852                           77                            77                            17                            17                            8                             8                             102                           
Branchburg D 9                758                           51                            51                            12                            12                            9                             9                             72                            
Branchburg D 10               617                           63                            63                            24                            24                            4                             4                             91                            
Branchburg D 11               833                           54                            54                            17                            17                            6                             6                             77                            
Branchburg D 12               684                           46                            46                            15                            15                            2                             2                             63                            
Branchburg D 13               765                           80                            80                            17                            17                            10                            10                            107                           
Branchburg D 14               494                           47                            47                            9                             9                             0                             0                             56                            
Branchburg Mail-In Ballot     0                             33                            33                            10                            10                            0                             0                             43                            
Branchburg Provo              0                             2                             2                             0                             0                             0                             0                             2                             
Bridgewater D 1               899                           62                            62                            6                             6                             9                             9                             77                            
Bridgewater D 2               1155                          67                            67                            15                            15                            9                             9                             91                            
Bridgewater D 3               893                           49                            49                            9                             9                             2                             2                             60                            
Bridgewater D 4               880                           52                            52                            11                            11                            10                            10                            73                            
Bridgewater D 5               901                           40                            40                            4                             4                             2                             2                             46                            
Bridgewater D 6               754                           67                            67                            8                             8                             2                             2                             77                            
Bridgewater D 7               700                           67                            67                            10                            10                            8                             8                             85                            
Bridgewater D 8               746                           37                            37                            3                             3                             3                             3                             43                            
Bridgewater D 9               691                           57                            57                            10                            10                            5                             5                             72                            
Bridgewater D 10              1044                          96                            96                            18                            18                            5                             5                             119                           
Bridgewater D 11              696                           49                            49                            7                             7                             5                             5                             61                            
Bridgewater D 12              887                           81                            81                            16                            16                            9                             9                             106                           
Bridgewater D 13              673                           49                            49                            10                            10                            3                             3                             62                            
Bridgewater D 14              779                           41                            41                            12                            12                            5                             5                             58                            
Bridgewater D 15              814                           69                            69                            8                             8                             8                             8                             85                            
Bridgewater D 16              764                           67                            67                            7                             7                             6                             6                             80                            
Bridgewater D 17              578                           52                            52                            8                             8                             5                             5                             65                            
Bridgewater D 18              751                           50                            50                            8                             8                             2                             2                             60                            
Bridgewater D 19              789                           59                            59                            11                            11                            6                             6                             76                            
Bridgewater D 20              958                           71                            71                            14                            14                            8                             8                             93                            
Bridgewater D 21              518                           44                            44                            7                             7                             4                             4                             55                            
Bridgewater D 22              888                           78                            78                            18                            18                            3                             3                             99                            
Bridgewater D 23              881                           60                            60                            12                            12                            6                             6                             78                            
Bridgewater D 24              889                           69                            69                            15                            15                            3                             3                             87                            
Bridgewater D 25              837                           55                            55                            12                            12                            5                             5                             72                            
Bridgewater D 26              780                           43                            43                            10                            10                            5                             5                             58                            
Bridgewater D 27              535                           27                            27                            6                             6                             5                             5                             38                            
Bridgewater D 28              725                           56                            56                            12                            12                            0                             0                             68                            
Bridgewater D 29              721                           46                            46                            4                             4                             2                             2                             52                            
Bridgewater D 30              769                           61                            61                            9                             9                             3                             3                             73                            
Bridgewater D 31              953                           59                            59                            7                             7                             4                             4                             70                            
Bridgewater D 32              929                           52                            52                            9                             9                             10                            10                            71                            
Bridgewater D 33              904                           48                            48                            10                            10                            2                             2                             60                            
Bridgewater D 34              900                           60                            60                            7                             7                             1                             1                             68                            
Bridgewater D 35              1011                          39                            39                            12                            12                            2                             2                             53                            
Bridgewater D 36              997                           42                            42                            5                             5                             4                             4                             51                            
Bridgewater Mail-In Ballot    0                             105                           105                           26                            26                            7                             7                             138                           
Bridgewater Provo             0                             1                             1                             1                             1                             0                             0                             2                             
Far Hills D 1                 751                           78                            78                            20                            20                            1                             1                             99                            
Far Hills Mail-In Ballot      0                             4                             4                             2                             2                             0                             0                             6                             
Far Hills Provo               0                             0                             0                             0                             0                             0                             0                             0                             
