"precinct","registration","ballots cast","Turnout","CLINTON - KAINEDEM","TRUMP - PENCEREP","De La FUENTE - STEINBERGIND","CASTLE - BRADLEYIND","KENNEDY - HARTIND","La RIVA - PURYEARIND","STEIN - BARAKAGRE","MOOREHEAD - LILLYIND","JOHNSON - WELDLIB","Write-in "
Newark S-21 - Election Day,799,342,42.80,336,2,0,0,0,0,1,0,0,0
Newark S-22 - Election Day,1072,531,49.53,508,16,1,0,0,0,1,0,1,2
Newark S-23 - Election Day,929,429,46.18,420,6,1,0,0,0,1,0,0,1
Newark S-24 - Election Day,726,362,49.86,351,6,0,0,0,0,1,0,0,1
Newark S-25 - Election Day,1121,451,40.23,437,6,1,0,1,0,3,0,0,1
Newark S-27 - Election Day,934,332,35.55,324,1,2,0,0,0,2,0,0,1
Newark S-28 - Election Day,779,381,48.91,365,6,1,0,0,0,4,0,0,0
Newark S-29 - Election Day,824,404,49.03,396,2,0,0,0,0,3,0,0,1
Newark S-30 - Election Day,926,486,52.48,471,3,0,0,1,0,5,0,1,1
Newark S-32 - Election Day,737,415,56.31,404,4,1,0,1,0,2,0,1,2
Newark S-34 - Election Day,874,399,45.65,386,11,0,0,0,0,1,0,0,0
Newark S-35 - Election Day,644,320,49.69,313,1,0,0,0,0,1,0,2,2
Newark S-36 - Election Day,1131,545,48.19,520,10,0,0,0,0,7,0,0,1
Newark S-37 - Election Day,845,360,42.60,348,2,0,0,0,0,6,0,1,2
Newark S-38 - Election Day,841,439,52.20,421,5,1,0,0,0,6,0,0,0
Newark S-39 - Election Day,998,573,57.41,542,13,1,0,0,0,10,0,2,1
Newark S-40 - Election Day,888,438,49.32,426,2,0,1,0,1,5,0,0,0
Newark S-41 - Election Day,905,451,49.83,432,8,1,0,0,0,2,0,0,1
Newark S-42 - Election Day,1044,505,48.37,495,2,0,0,0,0,2,0,1,0
Newark S-44 - Election Day,909,489,53.80,470,8,1,1,0,0,4,0,1,0
Newark S-45 - Election Day,897,447,49.83,430,7,0,0,0,0,6,1,0,0
Newark S-46 - Election Day,1062,585,55.08,568,9,0,0,0,0,3,0,0,2
Newark S-47 - Election Day,1061,476,44.86,453,12,0,0,0,0,3,0,1,1
Newark S-48 - Election Day,1372,432,31.49,406,16,0,0,0,0,3,0,1,1
Newark S-49 - Election Day,1323,561,42.40,533,20,1,0,0,0,2,0,0,0
Newark E-1 - Election Day,734,367,50.00,246,107,0,0,0,0,8,0,2,1
Newark E-2 - Election Day,1143,546,47.77,401,132,0,0,0,0,7,0,2,2
Newark E-3 - Election Day,1099,548,49.86,372,155,0,0,0,0,6,0,1,5
Newark E-4 - Election Day,1484,664,44.74,556,86,1,2,2,1,7,0,2,2
Newark E-6 - Election Day,788,352,44.67,310,27,0,0,0,0,2,0,3,2
Newark E-7 - Election Day,943,409,43.37,362,36,1,0,0,0,6,0,0,2
Newark E-8 - Election Day,727,392,53.92,268,111,0,0,0,0,5,0,0,2
Newark E-9 - Election Day,944,463,49.05,309,130,1,1,1,0,5,0,7,2
Newark E-10 - Election Day,640,308,48.13,220,75,0,0,0,0,3,0,5,2
Newark E-11 - Election Day,598,275,45.99,193,74,1,0,0,0,2,0,2,0
Newark E-12 - Election Day,1031,460,44.62,381,53,1,0,1,0,14,0,1,4
Newark E-13 - Election Day,1064,514,48.31,427,69,0,1,0,0,6,0,8,1
Newark E-14 - Election Day,602,278,46.18,185,80,0,0,0,1,8,0,0,2
Newark E-15 - Election Day,541,263,48.61,193,58,0,1,1,0,4,1,1,1
Newark E-16 - Election Day,819,393,47.99,262,112,1,1,0,1,8,0,2,2
Newark E-17 - Election Day,515,233,45.24,158,62,0,0,0,0,8,0,0,3
Newark E-18 - Election Day,740,360,48.65,256,85,1,2,0,0,5,0,5,3
Newark E-19 - Election Day,626,277,44.25,191,74,1,0,0,0,3,0,2,2
Newark E-20 - Election Day,631,281,44.53,208,57,0,1,0,0,10,0,0,2
Newark E-21 - Election Day,665,323,48.57,239,60,0,0,0,1,12,0,2,3
Newark E-25 - Election Day,278,115,41.37,103,8,0,1,1,1,0,0,0,0
Newark E-29 - Election Day,1128,409,36.26,375,25,0,0,0,0,7,0,0,0
Newark E-30 - Election Day,1177,494,41.97,451,33,1,0,0,0,2,0,0,1
Newark W-6 - Election Day,783,346,44.19,325,15,0,0,0,0,0,0,1,2
Newark W-7 - Election Day,1300,551,42.38,529,15,0,0,0,0,0,0,1,3
Newark W-9 - Election Day,947,371,39.18,331,28,0,0,0,0,5,0,1,2
Newark W-10 - Election Day,776,352,45.36,328,13,0,0,0,0,4,0,1,1
Newark W-13 - Election Day,1070,470,43.93,444,16,1,0,0,0,2,0,1,4
Newark W-15 - Election Day,917,379,41.33,364,11,0,0,0,0,2,1,0,0
Newark W-17 - Election Day,1410,536,38.01,510,16,1,2,0,0,3,1,1,0
Newark W-19 - Election Day,1196,462,38.63,447,8,0,0,0,0,3,0,1,0
Newark W-20 - Election Day,680,292,42.94,277,6,0,0,0,0,4,0,0,1
Newark W-21 - Election Day,740,415,56.08,402,7,0,0,0,0,0,0,0,1
Newark W-22 - Election Day,914,376,41.14,361,7,1,0,0,0,3,0,1,1
Newark W-23 - Election Day,942,425,45.12,410,8,0,0,2,0,2,0,0,1
Newark W-24 - Election Day,791,257,32.49,251,5,0,0,0,0,0,0,0,0
Newark W-25 - Election Day,1010,458,45.35,436,10,1,1,0,0,6,0,0,3
Newark W-26 - Election Day,782,381,48.72,369,9,0,0,0,0,1,0,0,1
Newark W-27 - Election Day,823,379,46.05,364,11,0,1,0,0,3,0,0,0
Newark W-28 - Election Day,930,417,44.84,397,8,0,0,0,1,3,0,2,2
Newark W-29 - Election Day,799,334,41.80,316,11,2,0,0,0,2,0,0,0
Newark W-30 - Election Day,891,437,49.05,416,12,1,1,0,0,2,0,0,0
Newark W-31 - Election Day,998,572,57.31,550,10,0,0,0,0,7,0,2,0
Newark W-32 - Election Day,901,556,61.71,517,24,0,0,0,0,7,1,2,0
Newark W-33 - Election Day,924,536,58.01,507,11,0,5,0,0,6,0,2,3
Newark W-34 - Election Day,970,526,54.23,505,13,0,0,1,0,2,0,2,2
Newark W-35 - Election Day,969,510,52.63,454,42,1,0,0,0,9,0,0,2
Newark W-36 - Election Day,963,539,55.97,516,10,0,2,0,0,4,1,0,1
Newark W-37 - Election Day,852,457,53.64,434,13,0,0,0,0,4,1,2,1
Newark W-38 - Election Day,888,529,59.57,518,4,0,0,0,1,0,1,1,2
Newark W-39 - Election Day,727,390,53.65,381,5,0,0,0,0,4,0,0,0
Newark W-40 - Election Day,1295,674,52.05,651,9,1,0,1,0,4,0,1,0
Newark W-41 - Election Day,911,450,49.40,432,8,0,0,1,0,2,1,0,1
Newark W-43 - Election Day,1514,630,41.61,600,26,0,0,0,1,0,0,0,0
Newark W-44 - Election Day,1030,379,36.80,320,40,1,0,1,0,7,0,2,3
Newark W-45 - Election Day,594,304,51.18,261,32,0,0,0,0,7,0,2,0
Newark W-46 - Election Day,771,316,40.99,280,28,2,0,0,0,5,0,1,0
Newark W-47 - Election Day,1136,369,32.48,343,11,0,0,0,0,2,1,3,2
Newark W-48 - Election Day,1038,448,43.16,428,9,0,1,0,0,2,0,0,2
Newark W-49 - Election Day,972,391,40.23,372,9,1,0,1,0,4,0,0,1
Newark C-1 - Election Day,1666,679,40.76,622,26,0,0,2,3,14,0,5,3
Newark C-3 - Election Day,952,299,31.41,271,18,2,0,0,0,2,0,1,2
Newark C-4 - Election Day,702,367,52.28,359,4,0,2,0,0,1,0,0,0
Newark C-5 - Election Day,683,331,48.46,318,7,0,0,0,0,2,0,0,0
Newark C-6 - Election Day,1033,553,53.53,538,8,0,0,0,0,1,0,1,3
Newark C-7 - Election Day,1005,484,48.16,459,12,0,0,0,1,4,0,1,3
Newark C-9 - Election Day,1570,753,47.96,717,13,0,3,1,0,4,0,1,1
Newark C-12 - Election Day,1024,461,45.02,444,8,1,0,0,0,3,0,0,1
Newark C-15 - Election Day,1117,574,51.39,531,20,0,0,0,0,5,0,6,3
Newark C-17 - Election Day,1251,638,51.00,602,18,0,0,0,0,8,0,4,3
Newark C-20 - Election Day,1168,493,42.21,476,10,0,0,1,0,2,0,0,2
Newark C-22 - Election Day,1495,809,54.11,780,12,0,1,0,0,4,1,2,1
Newark C-23 - Election Day,2337,1153,49.34,1103,26,0,0,0,1,9,0,1,3
Newark C-28 - Election Day,970,487,50.21,466,7,0,0,0,0,6,1,1,1
Newark C-29 - Election Day,716,339,47.35,319,10,2,0,0,0,2,2,0,0
Newark C-32 - Election Day,1871,649,34.69,607,32,0,0,0,0,1,1,2,3
Newark C-34 - Election Day,1866,740,39.66,672,49,0,0,1,0,2,1,2,0
Newark C-35 - Election Day,1184,446,37.67,406,33,1,0,0,0,3,0,0,2
Newark C-37 - Election Day,659,269,40.82,232,28,1,0,0,0,4,1,2,0
Newark C-38 - Election Day,1842,887,48.15,834,31,2,0,0,1,6,0,2,4
Newark C-39 - Election Day,1584,606,38.26,560,22,0,3,0,0,6,2,1,5
Newark C-40 - Election Day,1972,933,47.31,895,23,0,0,1,0,0,0,0,2
Newark C-41 - Election Day,1004,431,42.93,410,9,0,0,0,0,7,0,1,1
Newark C-42 - Election Day,1075,490,45.58,462,12,1,2,0,0,3,1,2,0
Newark C-43 - Election Day,1024,243,23.73,208,18,1,1,0,0,9,0,4,0
Newark C-44 - Election Day,687,240,34.93,208,15,0,0,0,1,6,0,5,5
Newark C-45 - Election Day,683,289,42.31,270,10,1,0,0,0,3,0,2,1
Newark C-46 - Election Day,784,258,32.91,228,22,1,1,0,0,1,0,2,1
Newark C-47 - Election Day,1087,378,34.77,337,30,1,0,0,0,6,0,0,1
Newark C-49 - Election Day,716,279,38.97,244,22,0,0,0,0,7,0,4,0
North Caldwell 1 - Election Day,1683,1088,64.65,499,522,0,0,1,1,9,0,26,10
North Caldwell 2 - Election Day,1509,911,60.37,433,441,2,2,1,0,5,0,14,5
North Caldwell 3 - Election Day,1151,723,62.81,328,356,0,3,0,0,6,0,11,9
North Caldwell 4 - Election Day,989,627,63.40,252,346,0,0,0,0,3,0,8,10
Nutley 1-1 - Election Day,1391,855,61.47,330,484,1,0,1,0,11,0,12,8
Nutley 1-2 - Election Day,814,531,65.23,236,276,0,0,0,0,5,1,9,1
Nutley 1-3 - Election Day,1211,750,61.93,335,388,0,1,2,0,7,0,10,3
Nutley 1-4 - Election Day,907,566,62.40,255,286,0,2,0,0,8,0,9,3
Nutley 1-5 - Election Day,862,534,61.95,249,264,2,1,1,0,8,0,7,1
Nutley 1-6 - Election Day,839,587,69.96,217,345,0,0,1,0,4,0,5,8
Nutley 1-7 - Election Day,1015,658,64.83,294,335,0,3,1,0,4,0,6,1
Nutley 2-1 - Election Day,642,405,63.08,199,182,2,0,0,0,6,0,8,3
Nutley 2-2 - Election Day,1160,811,69.91,323,442,2,1,1,0,7,0,20,8
Nutley 2-3 - Election Day,1305,891,68.28,387,471,0,0,1,0,5,1,15,4
Nutley 2-4 - Election Day,1134,763,67.28,325,403,0,1,0,1,7,0,12,11
Nutley 2-5 - Election Day,827,485,58.65,246,211,0,0,1,1,9,0,9,3
Nutley 2-6 - Election Day,1097,709,64.63,326,328,0,1,0,1,20,0,14,9
Nutley 3-1 - Election Day,730,444,60.82,222,199,0,2,0,0,2,0,11,4
Nutley 3-2 - Election Day,835,528,63.23,255,243,0,1,1,0,11,1,9,3
Nutley 3-3 - Election Day,758,521,68.73,217,279,0,0,0,0,4,0,12,2
Nutley 3-4 - Election Day,1134,730,64.37,320,370,0,1,1,0,6,0,12,5
Nutley 3-5 - Election Day,2032,1265,62.25,663,548,0,2,0,1,10,0,16,16
Nutley 3-6 - Election Day,1532,906,59.14,501,356,0,2,3,0,15,1,17,7
Nutley 3-7 - Election Day,765,462,60.39,213,230,1,0,1,0,3,0,5,6
Orange N-2 - Election Day,1308,676,51.68,625,24,1,2,0,0,4,0,1,1
Orange N-3 - Election Day,1306,636,48.70,600,24,1,0,0,1,3,0,2,1
Orange N-4 - Election Day,584,307,52.57,270,25,0,1,0,0,7,0,0,0
Orange N-5 - Election Day,1158,641,55.35,619,10,1,0,0,0,3,0,0,2
Orange S-1 - Election Day,1113,606,54.45,556,38,0,1,1,0,6,1,1,2
Orange S-2 - Election Day,1331,765,57.48,701,33,2,3,1,0,9,1,4,6
Orange S-4 - Election Day,872,472,54.13,438,20,1,0,0,0,5,0,1,3
Orange S-5 - Election Day,973,525,53.96,485,15,2,2,0,0,9,1,4,3
Orange S-6 - Election Day,684,355,51.90,324,19,0,0,0,0,6,0,2,1
Orange E-1 - Election Day,1596,848,53.13,804,27,0,1,0,1,6,0,1,1
Orange E-2 - Election Day,1081,560,51.80,538,14,0,0,0,0,3,0,1,0
Orange E-4 - Election Day,1113,491,44.12,474,13,0,0,0,0,1,0,0,1
Orange E-5 - Election Day,947,554,58.50,530,11,0,0,0,0,4,0,1,0
Orange W-3 - Election Day,842,434,51.54,393,29,1,0,0,0,3,0,1,3
Orange W-4 - Election Day,1067,538,50.42,502,22,4,0,0,0,7,0,0,0
Orange W-5 - Election Day,951,473,49.74,425,31,0,0,1,0,6,0,2,5
Orange W-6 - Election Day,727,374,51.44,343,21,0,0,0,0,2,0,1,1
Roseland 1 - Election Day,860,573,66.63,236,305,0,0,0,0,2,0,10,7
Roseland 2 - Election Day,1161,696,59.95,323,347,2,2,0,0,2,0,10,2
Roseland 3 - Election Day,759,493,64.95,196,273,0,1,0,0,3,0,8,5
Roseland 4 - Election Day,953,648,68.00,252,362,0,1,0,0,2,0,15,4
Roseland 5 - Election Day,885,587,66.33,218,344,1,0,0,0,4,0,10,5
Roseland 6 - Election Day,822,536,65.21,267,241,0,0,0,0,5,0,10,5
South Orange 1 - Election Day,1060,637,60.09,541,67,0,0,0,0,8,0,10,5
South Orange 2 - Election Day,730,455,62.33,411,28,1,0,0,0,10,0,2,1
South Orange 3 - Election Day,893,592,66.29,504,67,0,0,1,0,7,0,6,5
South Orange 4 - Election Day,1075,673,62.60,587,71,0,0,0,0,6,0,5,1
South Orange 6 - Election Day,999,592,59.26,516,53,1,0,0,0,4,0,6,6
South Orange 7 - Election Day,1871,1126,60.18,927,159,0,0,0,0,6,0,27,4
South Orange 8 - Election Day,847,502,59.27,429,49,0,1,2,0,9,0,5,3
South Orange 9 - Election Day,1180,622,52.71,489,92,1,1,0,1,10,0,12,9
South Orange 10 - Election Day,771,510,66.15,450,45,2,0,0,0,2,0,7,4
South Orange 11 - Election Day,831,505,60.77,431,54,0,0,0,0,6,0,7,5
South Orange 12 - Election Day,1770,722,40.79,622,62,0,1,0,0,21,0,4,6
South Orange 13 - Election Day,1594,933,58.53,811,80,1,0,0,1,10,0,13,9
Verona 1 - Election Day,1178,694,58.91,394,271,1,1,0,0,4,0,6,3
Verona 2 - Election Day,893,586,65.62,318,237,0,0,1,0,3,0,14,7
Verona 3 - Election Day,719,500,69.54,275,196,0,0,1,0,3,0,19,5
Verona 4 - Election Day,1184,802,67.74,365,389,0,5,0,0,4,0,19,9
Verona 5 - Election Day,1133,783,69.11,408,333,2,1,0,0,5,0,21,4
Verona 6 - Election Day,1039,690,66.41,376,263,0,2,0,0,12,0,16,14
Verona 7 - Election Day,831,590,71.00,236,320,1,0,1,0,5,0,14,4
Verona 8 - Election Day,990,667,67.37,348,273,1,0,0,0,7,0,14,11
Verona 9 - Election Day,960,622,64.79,285,306,0,2,0,0,5,1,9,4
Verona 10 - Election Day,1056,763,72.25,396,315,0,0,1,0,11,0,20,10
Verona 11 - Election Day,1180,738,62.54,382,321,2,1,0,1,6,0,7,6
West Caldwell 1 - Election Day,775,527,68.00,231,267,0,2,0,0,4,0,14,1
West Caldwell 2 - Election Day,881,562,63.79,262,261,0,0,0,0,8,0,12,5
West Caldwell 3 - Election Day,1271,817,64.28,347,435,2,1,0,0,5,0,12,8
West Caldwell 4 - Election Day,1243,731,58.81,334,368,1,0,0,0,2,0,9,6
West Caldwell 5 - Election Day,985,631,64.06,262,334,1,2,1,0,5,0,16,4
West Caldwell 6 - Election Day,940,639,67.98,279,322,0,1,0,0,7,1,9,6
West Caldwell 7 - Election Day,687,485,70.60,230,232,0,1,0,0,5,0,12,2
West Caldwell 8 - Election Day,908,573,63.11,260,286,0,1,0,0,3,0,9,8
West Caldwell 9 - Election Day,1066,712,66.79,267,405,0,2,0,0,11,1,6,9
West Orange 1-1 - Election Day,878,570,64.92,443,99,2,1,0,0,7,0,5,6
West Orange 1-2 - Election Day,805,529,65.71,423,83,1,2,0,0,7,0,5,4
West Orange 1-3 - Election Day,761,510,67.02,418,72,2,1,0,0,8,2,3,1
West Orange 1-4 - Election Day,1044,665,63.70,530,115,0,0,0,0,8,0,5,0
West Orange 1-6 - Election Day,1002,611,60.98,489,101,2,1,0,0,7,0,1,3
West Orange 1-7 - Election Day,496,279,56.25,216,59,0,0,0,0,2,0,0,0
West Orange 1-8 - Election Day,858,572,66.67,453,95,0,3,1,0,8,0,4,2
West Orange 1-9 - Election Day,645,399,61.86,321,60,0,0,0,0,4,0,6,5
West Orange 2-1 - Election Day,1135,654,57.62,529,110,0,0,0,0,8,0,2,1
West Orange 2-2 - Election Day,1341,794,59.21,601,162,0,1,1,0,5,1,6,9
West Orange 2-3 - Election Day,824,458,55.58,311,136,0,0,1,0,1,0,5,3
West Orange 2-4 - Election Day,567,319,56.26,238,64,0,0,1,1,6,0,4,2
West Orange 2-5 - Election Day,707,416,58.84,282,124,0,0,0,0,2,0,4,0
West Orange 3-1 - Election Day,568,319,56.16,272,37,0,0,0,1,2,0,1,4
West Orange 3-2 - Election Day,617,315,51.05,280,31,1,1,0,0,0,0,1,0
West Orange 3-3 - Election Day,862,544,63.11,409,105,1,0,0,1,5,0,8,8
West Orange 4-1 - Election Day,1291,740,57.32,468,244,0,0,1,0,2,0,6,11
West Orange 4-2 - Election Day,1338,830,62.03,574,208,1,1,1,0,9,0,13,5
West Orange 4-3 - Election Day,1358,810,59.65,523,262,0,1,0,0,2,0,8,7
West Orange 4-4 - Election Day,830,469,56.51,283,159,2,1,0,0,3,0,9,4
West Orange 4-5 - Election Day,1433,824,57.50,599,197,1,0,0,0,3,1,6,9
West Orange 4-6 - Election Day,1111,729,65.62,508,194,2,1,0,0,4,0,8,9
West Orange 4-7 - Election Day,1316,693,52.66,494,189,0,0,0,0,2,0,4,3
West Orange 4-8 - Election Day,987,591,59.88,417,144,0,1,0,0,7,2,9,6
West Orange 4-9 - Election Day,1103,637,57.75,385,204,0,1,0,0,2,0,15,17
West Orange 4-10 - Election Day,597,360,60.30,241,112,0,0,0,0,2,0,3,1
West Orange 4-11 - Election Day,642,392,61.06,253,114,1,1,0,0,4,0,9,4
West Orange 4-12 - Election Day,1523,874,57.39,603,235,0,0,0,0,9,0,13,7
West Orange 4-13 - Election Day,1075,635,59.07,433,186,0,0,0,0,0,2,4,5
West Orange 4-14 - Election Day,1221,636,52.09,442,176,0,0,0,0,6,0,6,4
West Orange 4-15 - Election Day,1341,785,58.54,527,228,2,1,0,0,2,0,11,7
West Orange 4-16 - Election Day,748,465,62.17,339,106,1,0,0,0,10,0,5,2
West Orange 5-1 - Election Day,642,376,58.57,319,46,0,0,0,0,5,1,3,1
West Orange 5-2 - Election Day,705,392,55.60,312,59,3,0,0,0,6,0,6,1
West Orange 5-3 - Election Day,1110,665,59.91,476,153,0,0,0,0,10,0,6,9
West Orange 5-4 - Election Day,788,492,62.44,415,60,0,0,0,0,3,0,4,5
West Orange 5-5 - Election Day,734,419,57.08,359,46,0,2,0,1,3,0,1,1
