




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Barnegat District 13          965                           339                           339                           351                           351                           172                           172                           181                           181                           54                            54                            0                             0                             1097                          
Barnegat District 14          607                           215                           215                           214                           214                           121                           121                           130                           130                           33                            33                            0                             0                             713                           
Barnegat District 15          633                           271                           271                           261                           261                           137                           137                           118                           118                           42                            42                            0                             0                             829                           
Barnegat Mail-In Ballot       0                             667                           667                           721                           721                           427                           427                           412                           412                           145                           145                           7                             7                             2379                          
Barnegat Provisional          0                             39                            39                            39                            39                            17                            17                            14                            14                            5                             5                             0                             0                             114                           
Barnegat Light District 01    648                           201                           201                           206                           206                           118                           118                           111                           111                           12                            12                            0                             0                             648                           
Barnegat Light Mail-In Ballot 0                             44                            44                            50                            50                            50                            50                            42                            42                            1                             1                             2                             2                             189                           
Barnegat Light Provisional    0                             1                             1                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
Bay Head District 01          867                           308                           308                           315                           315                           167                           167                           110                           110                           12                            12                            0                             0                             912                           
Bay Head Mail-In Ballot       0                             61                            61                            71                            71                            32                            32                            26                            26                            1                             1                             0                             0                             191                           
Bay Head Provisional          0                             1                             1                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
Beach Haven District 01       1029                          291                           291                           273                           273                           141                           141                           137                           137                           26                            26                            0                             0                             868                           
Beach Haven Mail-In Ballot    0                             86                            86                            94                            94                            44                            44                            39                            39                            6                             6                             0                             0                             269                           
Beach Haven Provisional       0                             9                             9                             8                             8                             2                             2                             2                             2                             0                             0                             0                             0                             21                            
Beachwood District 01         957                           288                           288                           290                           290                           197                           197                           181                           181                           34                            34                            3                             3                             993                           
Beachwood District 02         1342                          406                           406                           434                           434                           251                           251                           240                           240                           60                            60                            1                             1                             1392                          
Beachwood District 03         1137                          389                           389                           399                           399                           197                           197                           192                           192                           32                            32                            2                             2                             1211                          
Beachwood District 04         1135                          377                           377                           379                           379                           220                           220                           216                           216                           56                            56                            0                             0                             1248                          
Beachwood District 05         991                           339                           339                           332                           332                           185                           185                           205                           205                           46                            46                            2                             2                             1109                          
Beachwood District 06         828                           288                           288                           298                           298                           141                           141                           127                           127                           24                            24                            6                             6                             884                           
Beachwood District 07         741                           243                           243                           245                           245                           111                           111                           96                            96                            35                            35                            1                             1                             731                           
Beachwood Mail-In Ballot      0                             210                           210                           230                           230                           173                           173                           160                           160                           21                            21                            2                             2                             796                           
Beachwood Provisional         0                             15                            15                            16                            16                            11                            11                            7                             7                             3                             3                             0                             0                             52                            
Berkeley District 01          422                           38                            38                            43                            43                            137                           137                           129                           129                           7                             7                             0                             0                             354                           
Berkeley District 02          980                           287                           287                           307                           307                           169                           169                           147                           147                           47                            47                            0                             0                             957                           
Berkeley District 03          557                           190                           190                           197                           197                           89                            89                            84                            84                            10                            10                            0                             0                             570                           
Berkeley District 04          1332                          461                           461                           465                           465                           218                           218                           207                           207                           54                            54                            0                             0                             1405                          
Berkeley District 05          1484                          461                           461                           457                           457                           286                           286                           281                           281                           44                            44                            1                             1                             1530                          
Berkeley District 06          1355                          412                           412                           427                           427                           201                           201                           195                           195                           73                            73                            0                             0                             1308                          
Berkeley District 07          1051                          309                           309                           315                           315                           198                           198                           190                           190                           47                            47                            1                             1                             1060                          
Berkeley District 08          730                           238                           238                           237                           237                           152                           152                           137                           137                           15                            15                            0                             0                             779                           
Berkeley District 09          719                           253                           253                           237                           237                           117                           117                           110                           110                           8                             8                             0                             0                             725                           
Berkeley District 10          747                           261                           261                           251                           251                           125                           125                           120                           120                           9                             9                             0                             0                             766                           
Berkeley District 11          932                           253                           253                           261                           261                           153                           153                           146                           146                           19                            19                            0                             0                             832                           
Berkeley District 12          604                           188                           188                           176                           176                           104                           104                           103                           103                           6                             6                             0                             0                             577                           
Berkeley District 13          690                           230                           230                           210                           210                           105                           105                           112                           112                           13                            13                            0                             0                             670                           
Berkeley District 14          889                           310                           310                           308                           308                           151                           151                           148                           148                           15                            15                            0                             0                             932                           
Berkeley District 15          535                           176                           176                           189                           189                           94                            94                            88                            88                            12                            12                            1                             1                             560                           
Berkeley District 16          927                           278                           278                           290                           290                           161                           161                           150                           150                           43                            43                            0                             0                             922                           
Berkeley District 17          617                           220                           220                           204                           204                           92                            92                            95                            95                            8                             8                             0                             0                             619                           
Berkeley District 18          662                           240                           240                           237                           237                           101                           101                           103                           103                           4                             4                             0                             0                             685                           
Berkeley District 19          561                           192                           192                           195                           195                           97                            97                            90                            90                            13                            13                            0                             0                             587                           
Berkeley District 20          518                           190                           190                           203                           203                           73                            73                            69                            69                            40                            40                            0                             0                             575                           
Berkeley District 21          467                           137                           137                           136                           136                           71                            71                            72                            72                            4                             4                             0                             0                             420                           
Berkeley District 22          556                           193                           193                           185                           185                           106                           106                           103                           103                           5                             5                             0                             0                             592                           
Berkeley District 23          563                           172                           172                           159                           159                           96                            96                            89                            89                            9                             9                             0                             0                             525                           
Berkeley District 24          803                           260                           260                           251                           251                           165                           165                           161                           161                           13                            13                            0                             0                             850                           
Berkeley District 25          872                           285                           285                           282                           282                           165                           165                           155                           155                           9                             9                             2                             2                             898                           
Berkeley District 26          1070                          413                           413                           402                           402                           186                           186                           180                           180                           14                            14                            0                             0                             1195                          
Berkeley District 27          937                           299                           299                           301                           301                           163                           163                           153                           153                           13                            13                            0                             0                             929                           
Berkeley District 28          571                           187                           187                           186                           186                           113                           113                           103                           103                           15                            15                            0                             0                             604                           
Berkeley District 29          926                           287                           287                           279                           279                           195                           195                           184                           184                           11                            11                            0                             0                             956                           
Berkeley District 30          1163                          400                           400                           386                           386                           180                           180                           187                           187                           19                            19                            0                             0                             1172                          
Berkeley District 31          989                           376                           376                           372                           372                           190                           190                           184                           184                           8                             8                             2                             2                             1132                          
Berkeley District 32          991                           372                           372                           361                           361                           171                           171                           166                           166                           14                            14                            0                             0                             1084                          
Berkeley District 33          462                           183                           183                           185                           185                           89                            89                            81                            81                            12                            12                            0                             0                             550                           
Berkeley District 34          857                           304                           304                           312                           312                           140                           140                           116                           116                           31                            31                            0                             0                             903                           
Berkeley District 35          1241                          458                           458                           463                           463                           207                           207                           189                           189                           42                            42                            2                             2                             1361                          
Berkeley District 36          1132                          409                           409                           401                           401                           190                           190                           174                           174                           32                            32                            1                             1                             1207                          
Berkeley District 37          923                           280                           280                           271                           271                           169                           169                           152                           152                           25                            25                            1                             1                             898                           
Berkeley District 38          501                           206                           206                           196                           196                           89                            89                            79                            79                            10                            10                            0                             0                             580                           
Berkeley District 39          742                           244                           244                           256                           256                           116                           116                           108                           108                           28                            28                            0                             0                             752                           
Berkeley District 40          557                           167                           167                           180                           180                           106                           106                           94                            94                            33                            33                            0                             0                             580                           
Berkeley Mail-In Ballot       0                             1317                          1317                          1390                          1390                          869                           869                           838                           838                           77                            77                            1                             1                             4492                          
Berkeley W-1 Mail-In Ballot   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-2 Mail-In Ballot   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-3 Mail-In Ballot   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-4 Mail-In Ballot   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley Provisional          0                             76                            76                            76                            76                            37                            37                            37                            37                            6                             6                             2                             2                             234                           
Berkeley W-1 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-2 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-3 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley W-4 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Brick District 01             945                           335                           335                           342                           342                           164                           164                           157                           157                           11                            11                            0                             0                             1009                          
Brick District 02             738                           284                           284                           279                           279                           193                           193                           168                           168                           20                            20                            0                             0                             944                           
Brick District 03             997                           305                           305                           316                           316                           238                           238                           216                           216                           40                            40                            0                             0                             1115                          
Brick District 04             1070                          415                           415                           411                           411                           201                           201                           183                           183                           23                            23                            0                             0                             1233                          
Brick District 05             1215                          466                           466                           473                           473                           188                           188                           188                           188                           30                            30                            0                             0                             1345                          
Brick District 06             1259                          322                           322                           317                           317                           276                           276                           256                           256                           62                            62                            0                             0                             1233                          
Brick District 07             1219                          399                           399                           384                           384                           266                           266                           254                           254                           32                            32                            0                             0                             1335                          
Brick District 08             1091                          400                           400                           411                           411                           215                           215                           201                           201                           32                            32                            0                             0                             1259                          
Brick District 09             842                           262                           262                           269                           269                           182                           182                           179                           179                           29                            29                            0                             0                             921                           
Brick District 10             1193                          349                           349                           359                           359                           235                           235                           211                           211                           33                            33                            0                             0                             1187                          
Brick District 11             909                           333                           333                           328                           328                           171                           171                           144                           144                           28                            28                            0                             0                             1004                          
Brick District 12             1035                          369                           369                           354                           354                           224                           224                           217                           217                           29                            29                            0                             0                             1193                          
Brick District 13             1159                          401                           401                           386                           386                           225                           225                           207                           207                           32                            32                            0                             0                             1251                          
Brick District 14             1376                          485                           485                           482                           482                           269                           269                           269                           269                           27                            27                            0                             0                             1532                          
Brick District 15             1065                          381                           381                           380                           380                           230                           230                           212                           212                           38                            38                            1                             1                             1242                          
Brick District 16             859                           287                           287                           284                           284                           178                           178                           161                           161                           32                            32                            0                             0                             942                           
Brick District 17             776                           304                           304                           296                           296                           143                           143                           130                           130                           18                            18                            0                             0                             891                           
Brick District 18             988                           439                           439                           432                           432                           184                           184                           169                           169                           21                            21                            0                             0                             1245                          
Brick District 19             845                           349                           349                           353                           353                           130                           130                           126                           126                           11                            11                            0                             0                             969                           
Brick District 20             815                           276                           276                           273                           273                           135                           135                           126                           126                           29                            29                            0                             0                             839                           
Brick District 21             910                           310                           310                           318                           318                           198                           198                           189                           189                           25                            25                            0                             0                             1040                          
Brick District 22             1081                          350                           350                           349                           349                           241                           241                           217                           217                           30                            30                            0                             0                             1187                          
Brick District 23             731                           273                           273                           268                           268                           136                           136                           135                           135                           14                            14                            0                             0                             826                           
Brick District 24             1052                          327                           327                           330                           330                           185                           185                           170                           170                           19                            19                            0                             0                             1031                          
Brick District 25             770                           306                           306                           298                           298                           121                           121                           108                           108                           18                            18                            0                             0                             851                           
Brick District 26             669                           217                           217                           216                           216                           82                            82                            76                            76                            6                             6                             0                             0                             597                           
Brick District 27             870                           297                           297                           279                           279                           178                           178                           175                           175                           25                            25                            0                             0                             954                           
