




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
National Park District 3      590                           128                           128                           165                           165                           9                             9                             2                             2                             5                             5                             0                             0                             309                           
National Park District 4      386                           75                            75                            120                           120                           6                             6                             1                             1                             0                             0                             0                             0                             202                           
Paulsboro District 1          947                           83                            83                            376                           376                           12                            12                            4                             4                             3                             3                             0                             0                             478                           
Paulsboro District 2          791                           39                            39                            321                           321                           7                             7                             6                             6                             2                             2                             2                             2                             377                           
Paulsboro District 3          638                           59                            59                            207                           207                           10                            10                            2                             2                             1                             1                             0                             0                             279                           
Paulsboro District 4          726                           96                            96                            230                           230                           8                             8                             3                             3                             4                             4                             0                             0                             341                           
Paulsboro District 5          613                           106                           106                           189                           189                           5                             5                             3                             3                             1                             1                             0                             0                             304                           
Washington District 1         921                           251                           251                           219                           219                           3                             3                             6                             6                             2                             2                             0                             0                             481                           
Washington District 2         958                           338                           338                           206                           206                           6                             6                             5                             5                             3                             3                             0                             0                             558                           
Washington District 3         816                           213                           213                           198                           198                           10                            10                            4                             4                             3                             3                             0                             0                             428                           
Washington District 4         1156                          383                           383                           272                           272                           7                             7                             3                             3                             4                             4                             0                             0                             669                           
Washington District 5         1285                          326                           326                           319                           319                           5                             5                             9                             9                             4                             4                             0                             0                             663                           
Washington District 6         1451                          336                           336                           390                           390                           8                             8                             7                             7                             8                             8                             1                             1                             750                           
Washington District 7         1005                          170                           170                           309                           309                           9                             9                             3                             3                             4                             4                             0                             0                             495                           
Washington District 8         906                           269                           269                           224                           224                           10                            10                            5                             5                             3                             3                             0                             0                             511                           
Washington District 9         986                           320                           320                           216                           216                           9                             9                             5                             5                             2                             2                             0                             0                             552                           
Washington District 10        689                           227                           227                           153                           153                           5                             5                             2                             2                             1                             1                             1                             1                             389                           
Washington District 11        914                           292                           292                           221                           221                           7                             7                             5                             5                             3                             3                             0                             0                             528                           
Washington District 12        697                           188                           188                           184                           184                           11                            11                            13                            13                            3                             3                             0                             0                             399                           
Washington District 13        631                           163                           163                           175                           175                           2                             2                             2                             2                             1                             1                             0                             0                             343                           
Washington District 14        691                           199                           199                           182                           182                           8                             8                             5                             5                             2                             2                             0                             0                             396                           
Washington District 15        743                           253                           253                           171                           171                           7                             7                             7                             7                             2                             2                             0                             0                             440                           
Washington District 16        1309                          436                           436                           329                           329                           10                            10                            10                            10                            5                             5                             0                             0                             790                           
Washington District 17        926                           268                           268                           250                           250                           11                            11                            2                             2                             3                             3                             0                             0                             534                           
Washington District 18        1024                          241                           241                           295                           295                           13                            13                            7                             7                             7                             7                             0                             0                             563                           
Washington District 19        824                           235                           235                           184                           184                           11                            11                            6                             6                             5                             5                             0                             0                             441                           
Washington District 20        822                           242                           242                           212                           212                           14                            14                            7                             7                             4                             4                             0                             0                             479                           
Washington District 21        699                           200                           200                           184                           184                           4                             4                             3                             3                             1                             1                             0                             0                             392                           
Washington District 22        1006                          284                           284                           253                           253                           9                             9                             9                             9                             5                             5                             1                             1                             561                           
Washington District 23        869                           238                           238                           210                           210                           7                             7                             3                             3                             3                             3                             0                             0                             461                           
Washington District 24        1276                          310                           310                           315                           315                           18                            18                            7                             7                             4                             4                             0                             0                             654                           
Washington District 25        730                           174                           174                           133                           133                           3                             3                             2                             2                             2                             2                             0                             0                             314                           
Washington District 26        1070                          194                           194                           325                           325                           8                             8                             2                             2                             8                             8                             0                             0                             537                           
Washington District 27        1022                          211                           211                           299                           299                           12                            12                            3                             3                             2                             2                             0                             0                             527                           
Washington District 28        893                           282                           282                           186                           186                           11                            11                            6                             6                             1                             1                             0                             0                             486                           
Washington District 29        759                           215                           215                           194                           194                           8                             8                             4                             4                             7                             7                             0                             0                             428                           
Washington District 30        1106                          324                           324                           283                           283                           14                            14                            8                             8                             8                             8                             0                             0                             637                           
Washington District 31        964                           278                           278                           267                           267                           7                             7                             5                             5                             3                             3                             0                             0                             560                           
Washington District 32        920                           255                           255                           240                           240                           6                             6                             4                             4                             6                             6                             0                             0                             511                           
Washington District 33        1131                          319                           319                           295                           295                           5                             5                             5                             5                             1                             1                             1                             1                             626                           
Washington District 34        741                           245                           245                           167                           167                           2                             2                             2                             2                             1                             1                             1                             1                             418                           
Washington District 35        785                           248                           248                           156                           156                           5                             5                             2                             2                             5                             5                             0                             0                             416                           
Washington District 36        488                           115                           115                           109                           109                           5                             5                             3                             3                             1                             1                             0                             0                             233                           
Washington District 37        977                           276                           276                           233                           233                           8                             8                             5                             5                             4                             4                             0                             0                             526                           
Washington District 38        1296                          377                           377                           296                           296                           6                             6                             4                             4                             7                             7                             0                             0                             690                           
Washington District 39        929                           262                           262                           196                           196                           12                            12                            3                             3                             3                             3                             0                             0                             476                           
Wenonah District 1            701                           207                           207                           207                           207                           8                             8                             5                             5                             9                             9                             0                             0                             436                           
Wenonah District 2            645                           155                           155                           226                           226                           9                             9                             10                            10                            5                             5                             3                             3                             408                           
Wenonah District 3            466                           167                           167                           133                           133                           3                             3                             3                             3                             3                             3                             0                             0                             309                           
West Deptford District 1      871                           154                           154                           235                           235                           14                            14                            7                             7                             3                             3                             0                             0                             413                           
West Deptford District 2      573                           140                           140                           140                           140                           15                            15                            4                             4                             3                             3                             0                             0                             302                           
West Deptford District 3      740                           207                           207                           205                           205                           20                            20                            3                             3                             3                             3                             0                             0                             438                           
West Deptford District 4      826                           262                           262                           203                           203                           3                             3                             7                             7                             4                             4                             0                             0                             479                           
West Deptford District 5      653                           145                           145                           187                           187                           12                            12                            0                             0                             5                             5                             0                             0                             349                           
West Deptford District 6      493                           134                           134                           160                           160                           5                             5                             2                             2                             4                             4                             0                             0                             305                           
West Deptford District 7      1116                          257                           257                           321                           321                           14                            14                            8                             8                             7                             7                             1                             1                             608                           
West Deptford District 8      908                           239                           239                           287                           287                           14                            14                            5                             5                             3                             3                             0                             0                             548                           
West Deptford District 9      703                           139                           139                           219                           219                           11                            11                            5                             5                             1                             1                             0                             0                             375                           
West Deptford District 10     649                           154                           154                           191                           191                           6                             6                             3                             3                             2                             2                             0                             0                             356                           
West Deptford District 11     598                           158                           158                           190                           190                           8                             8                             5                             5                             1                             1                             0                             0                             362                           
West Deptford District 12     538                           119                           119                           150                           150                           4                             4                             4                             4                             1                             1                             0                             0                             278                           
West Deptford District 13     1287                          348                           348                           391                           391                           15                            15                            3                             3                             4                             4                             0                             0                             761                           
West Deptford District 14     1045                          178                           178                           285                           285                           16                            16                            4                             4                             2                             2                             0                             0                             485                           
West Deptford District 15     956                           230                           230                           263                           263                           14                            14                            7                             7                             1                             1                             1                             1                             516                           
West Deptford District 16     847                           221                           221                           240                           240                           8                             8                             5                             5                             2                             2                             0                             0                             476                           
West Deptford District 17     942                           204                           204                           272                           272                           9                             9                             2                             2                             1                             1                             0                             0                             488                           
West Deptford District 18     959                           183                           183                           233                           233                           12                            12                            1                             1                             2                             2                             1                             1                             432                           
West Deptford District 19     1327                          320                           320                           386                           386                           10                            10                            3                             3                             4                             4                             1                             1                             724                           
Westville District 1          851                           200                           200                           220                           220                           17                            17                            9                             9                             5                             5                             1                             1                             452                           
Westville District 2          1091                          268                           268                           275                           275                           18                            18                            9                             9                             7                             7                             0                             0                             577                           
Westville District 3          816                           171                           171                           234                           234                           18                            18                            8                             8                             6                             6                             1                             1                             438                           
Woodbury Ward 1 District 1    738                           87                            87                            229                           229                           9                             9                             6                             6                             0                             0                             0                             0                             331                           
Woodbury Ward 1 District 2    532                           115                           115                           164                           164                           11                            11                            4                             4                             8                             8                             1                             1                             303                           
Woodbury Ward 1 District 3    613                           125                           125                           206                           206                           1                             1                             6                             6                             3                             3                             0                             0                             341                           
Woodbury Ward 2 District 1    527                           120                           120                           163                           163                           3                             3                             2                             2                             3                             3                             0                             0                             291                           
Woodbury Ward 2 District 2    572                           32                            32                            227                           227                           6                             6                             1                             1                             1                             1                             0                             0                             267                           
Woodbury Ward 2 District 3    761                           110                           110                           208                           208                           3                             3                             2                             2                             4                             4                             1                             1                             328                           
Woodbury Ward 2 District 4    449                           25                            25                            188                           188                           5                             5                             2                             2                             0                             0                             0                             0                             220                           
Woodbury Ward 3 District 1    637                           190                           190                           156                           156                           2                             2                             6                             6                             1                             1                             0                             0                             355                           
Woodbury Ward 3 District 2    662                           170                           170                           178                           178                           5                             5                             3                             3                             6                             6                             0                             0                             362                           
Woodbury Ward 3 District 3    691                           136                           136                           241                           241                           9                             9                             4                             4                             2                             2                             1                             1                             393                           
Woodbury Ward 3 District 4    496                           82                            82                            190                           190                           5                             5                             0                             0                             3                             3                             0                             0                             280                           
Woodbury Heights 1            635                           169                           169                           188                           188                           5                             5                             6                             6                             13                            13                            1                             1                             382                           
Woodbury Heights 2            610                           153                           153                           217                           217                           8                             8                             2                             2                             1                             1                             0                             0                             381                           
Woodbury Heights 3            363                           97                            97                            131                           131                           2                             2                             1                             1                             3                             3                             1                             1                             235                           
Woodbury Heights 4            702                           214                           214                           219                           219                           13                            13                            2                             2                             1                             1                             0                             0                             449                           
Deptford Mail-In Ballot       0                             474                           474                           814                           814                           24                            24                            12                            12                            9                             9                             0                             0                             1333                          
Deptford Provisional          0                             21                            21                            30                            30                            1                             1                             1                             1                             0                             0                             0                             0                             53                            
East Greenwich Mail-In Ballot 0                             322                           322                           344                           344                           10                            10                            3                             3                             6                             6                             0                             0                             685                           
East Greenwich Provisional    0                             17                            17                            19                            19                            1                             1                             0                             0                             1                             1                             0                             0                             38                            
Glassboro Mail-In Ballot      0                             229                           229                           405                           405                           20                            20                            2                             2                             11                            11                            1                             1                             668                           
Glassboro Provisional         0                             19                            19                            34                            34                            3                             3                             2                             2                             0                             0                             0                             0                             58                            
Greenwich Mail-In Ballot      0                             197                           197                           269                           269                           16                            16                            2                             2                             1                             1                             0                             0                             485                           
Greenwich Provisional         0                             7                             7                             9                             9                             0                             0                             1                             1                             0                             0                             0                             0                             17                            
Logan Mail-In Ballot          0                             111                           111                           152                           152                           12                            12                            3                             3                             6                             6                             0                             0                             284                           
Logan Provisional             0                             8                             8                             7                             7                             1                             1                             0                             0                             0                             0                             0                             0                             16                            
Monroe Mail-In Ballot         0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Monroe Provisional            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
National Park Mail-In Ballot  0                             27                            27                            37                            37                            0                             0                             3                             3                             2                             2                             0                             0                             69                            
National Park Provisional     0                             1                             1                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             3                             
